,XGBoost_Gain,RandomForest,Permutation,LinearRegression,Correlation,综合得分
SOIL_sand_0.5cm_mean_0.01_deg,0.019906186143442403,0.06396232681269297,0.026857216123961195,0.03362936173017229,0.9406030010445372,0.2169916183709612
SOIL_nitrogen_0.5cm_mean_0.01_deg,0.055426156717813334,0.15308038753929662,0.14602597136199982,0.017957522371029003,0.6899769100995407,0.21249338961793587
WORLDCLIM_BIO15_precipitation_seasonality,0.08296897469522581,0.42221530300224086,0.49216148581009317,0.029756669072453577,0.03400101699318664,0.21222068991464
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m2,0.011228976188519757,0.007049942928362835,0.13920916264385544,0.4687539689790533,0.41030934143950915,0.20731027843586008
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m2,0.022137693750203094,0.006762812903524775,0.1327879135787982,0.41011083260632825,0.4528884164661689,0.20493753386100466
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m3,0.019176034694249753,0.010185370289018648,0.13111981314967186,0.4545861935952244,0.3918182451443568,0.2013771313745043
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m6,0.05193539169181018,0.09087771650240949,0.018598048208411884,0.08948236020104432,0.752545651813902,0.20068783368351556
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m3,0.00910738430038454,0.01680551772001694,0.10986555645549108,0.4163254798388987,0.44928380443723387,0.20027754855040505
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m7,0.04800699111274625,0.09539310219187194,0.012203135269898432,0.026059446991664764,0.6853593333108254,0.17340440177540137
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m5,0.014773063645815179,0.030953222634047154,0.08400130345911813,0.5241875685947173,0.20248163752753043,0.17127935917224563
SOIL_clay_15.30cm_mean_0.01_deg,0.014192285905100025,0.04731071055787206,0.08821961456667965,0.5044945722012804,0.19968773058259212,0.17078098276270484
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m12,0.015334196863331036,0.009781299827626322,0.12427222024704064,0.33303150090080774,0.3600198314194323,0.1684878098516476
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m5,0.015005485524693652,0.06142883329378736,0.05979099404762267,0.13422619975803743,0.5593024174605027,0.16595078601692875
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m6,0.044228767415954794,0.03625830873632111,0.07953745873272577,0.4983160748605069,0.13448244757071554,0.1585646114632448
SOIL_ocd_30.60cm_mean_0.01_deg,0.0228212666584165,0.1310907569272312,0.09840761023564472,0.04368033611309304,0.4800479828617095,0.15520959055921899
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m4,0.02851471366063498,0.015888056713373906,0.1147238817499888,0.29185265847224706,0.30497783978131754,0.15119143007551245
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m1,0.009971790403755385,0.007207916336208391,0.12875920976712024,0.22577994137882504,0.3712908554535798,0.14860194266789778
SOIL_ocd_0.5cm_mean_0.01_deg,0.04798526110724481,0.20363292790757237,0.27179818651131865,0.004514940546577657,0.21381259749303969,0.14834878271315063
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m1,0.023381214502193562,0.016795253999758425,0.11850662758744093,0.10160190196475395,0.46652896811589717,0.1453627932340088
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m8,0.026468847213542368,0.04956448612210542,0.07549517323451717,0.06998857485401813,0.5003423306506047,0.14437188241495758
VOD_Ku_1987_2017_multiyear_mean_m09,0.014882250968895552,0.0,0.1421408919076675,0.16589335630225674,0.3969695477985789,0.14397720939547973
SOIL_clay_0.5cm_mean_0.01_deg,0.01085609583028807,0.05957800487074082,0.08123868513008706,0.12143098603395615,0.44557892019282686,0.1437365384115798
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m12,0.02596383368777716,0.022282814071885194,0.09514493933895729,0.1625529400098265,0.4068910016574942,0.14256710575318807
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m4,0.013284862921095954,0.01256824023421,0.12971302988808475,0.3017882525914215,0.25337252338306343,0.1421453818035751
SOIL_clay_100.200cm_mean_0.01_deg,0.01670935226118917,0.05859299272867084,0.08063307297800384,0.5108095977605409,0.03901560866755014,0.141152124879191
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m3,0.0126812058054831,0.04319300913087354,0.08651000299132652,0.18052700078606437,0.3669600181448932,0.13797424737172814
WORLDCLIM_BIO1_annual_mean_temperature,0.0,0.15020117394293447,0.057685754881417854,0.03491068555464292,0.44385301931467674,0.1373301267387344
VOD_C_2002_2018_multiyear_mean_m07,0.015096413106979867,0.015250654587605285,0.12780184904290146,0.05301427524617215,0.46145703801769333,0.1345240460002704
VOD_Ku_1987_2017_multiyear_mean_m06,0.022234769766368127,0.003167675762634702,0.13179648260440804,0.09298628905149023,0.4177392870108728,0.1335849008391548
VOD_C_2002_2018_multiyear_mean_m06,0.02037605389176519,0.013733359268996468,0.1120631517697276,0.062017438404182744,0.4587937406846498,0.13339674880386437
VOD_X_1997_2018_multiyear_mean_m07,0.01869894946003138,0.0027124910584158416,0.12188508499978228,0.045581625581531,0.47403977102997114,0.13258358442594634
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m7,0.01458831428601601,0.032862397167721304,0.09406723069570966,0.04006057593687568,0.47633003273054936,0.13158171016337442
SOIL_nitrogen_30.60cm_mean_0.01_deg,0.03495826405693935,0.08335683465780329,0.09455026223639557,0.05572180784323198,0.3870512431554792,0.13112768238996986
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m6,0.033024819784625514,0.04214283320608918,0.0811833182454158,0.030296145509958964,0.449939983398022,0.1273174200288223
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m2,0.017828012722837905,0.017130538698799845,0.09953656406414395,0.021110490178532983,0.48019458892768,0.12716003891839894
VOD_X_1997_2018_multiyear_mean_m06,0.015267857477430462,0.006529001513960824,0.12289367436672644,0.03479773633053855,0.4560321856384098,0.12710409106541323
SOIL_cec_0.5cm_mean_0.01_deg,0.021298656860494394,0.0843119395703014,0.07338451207967961,0.0032692374583931046,0.4480839335148027,0.12606965589673425
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m5,0.012231849454145224,0.02052045174364733,0.10458370935485296,0.3710452781109507,0.12001925310940977,0.1256801083546012
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m12,0.026901059958704624,0.010915668639393234,0.11620437005841948,0.18081534950926062,0.29350696895792167,0.12566868342473994
